,제목,관객수,매출액,연도
0,트랜스포머 3,7749860,74534807500,2011
1,최종병기 활,7436543,55613006000,2011
2,써니,7305722,53619749600,2011
3,완득이,5299010,38459445000,2011
4,쿵푸팬더 2,5056833,44264044500,2011
5,미션임파서블:고스트프로토콜,4975161,37765048000,2011
6,조선명탐정 : 각시투구꽃의 비밀,4767635,35713044500,2011
7,도가니,4645291,35442335300,2011
8,해리포터와 죽음의 성물2,4338923,34045755500,2011
9,리얼 스틸,3570568,26501123500,2011
10,캐리비안의 해적: 낯선 조류,3113422,27132924000,2011
11,퀵,3098643,22765238000,2011
12,고지전,2913517,21730780600,2011
13,오싹한 연애,2770172,20244149500,2011
14,혹성탈출: 진화의 시작,2756726,20502341500,2011
15,위험한 상견례,2568992,19037617500,2011
16,엑스맨: 퍼스트 클래스,2527596,19027923500,2011
17,의뢰인,2385757,17740884500,2011
18,가문의 영광4 - 가문의 수난,2363305,17760219500,2011
19,7광구,2226049,19270735500,2011
20,블라인드,2211647,17152901000,2011
21,마당을 나온 암탉,2069316,13795046000,2011
22,라스트 갓파더,1992634,14520413000,2011
23,아이들...,1853563,13489272500,2011
24,글러브,1847296,13507972500,2011
25,걸리버 여행기,1754410,16393003000,2011
26,토르: 천둥의 신,1693638,15978817000,2011
27,평양성,1672810,12392555500,2011
28,헬로우 고스트,1660074,12237086500,2011
29,분노의 질주: 언리미티드,1618616,12267338500,2011
30,블랙 스완,1613043,12406251000,2011
31,그대를 사랑합니다,1605541,11759924000,2011
32,마이 웨이,1579667,11762638000,2011
33,브레이킹 던 part1,1446472,10599132500,2011
34,신들의 전쟁,1331568,11674290000,2011
35,월드 인베이젼,1301457,9753792000,2011
36,셜록홈즈 : 그림자 게임,1288941,9494977000,2011
37,소스 코드,1274239,9617199500,2011
38,특수본,1107351,8032798000,2011
39,수상한 고객들,1044553,7852462000,2011
40,오직 그대만,1015763,7506915500,2011
41,개구쟁이 스머프,1006483,7574775000,2011
42,심장이 뛴다,989476,7419969000,2011
43,파퍼씨네 펭귄들,967305,6962977000,2011
44,라푼젤,960782,9612403800,2011
45,메가마인드,865569,8606395500,2011
46,체포왕,864547,6375629000,2011
47,만추,821870,6130821500,2011
48,퍼펙트 게임,807649,5975571000,2011
49,킹스 스피치,797156,5897269000,2011
50,틴틴 : 유니콘호의 비밀,788031,6536473500,2011
51,화이트: 저주의 멜로디,781105,5518571500,2011
52,푸른소금,753205,5613954000,2011
53,황해,746638,5841293500,2011
54,풍산개,708155,5355865000,2011
55,통증,684694,5148806500,2011
56,고양이: 죽음을 보는 두 개의 눈,664552,4727076000,2011
57,삼총사 3D,643742,5606397000,2011
58,아이 엠 넘버 포,629896,4771989000,2011
59,머니볼,629665,4595867500,2011
60,아더 크리스마스,611419,4703911000,2011
61,명탐정 코난 : 침묵의 15분,611297,4002433000,2011
62,리오,602144,4679777000,2011
63,인 타임,584114,4341308000,2011
64,콜롬비아나,547493,4144846000,2011
65,너는 펫,536866,3771219000,2011
66,챔프,507724,3649243000,2011
67,언노운,505519,3817298000,2011
68,퍼스트 어벤져,502674,4069186000,2011
69,러브 & 드럭스,499320,3898017500,2011
70,앨빈과 슈퍼밴드3,496560,3279645000,2011
71,슈퍼 에이트,467573,3590593000,2011
72,생텀,462753,4808353500,2011
73,카운트다운,461496,3559837500,2011
74,시즌 오브 더 위치: 마녀 호송단,431284,3247663000,2011
75,해리 포터와 죽음의 성물1,423212,3009004500,2011
76,카 2,417794,3335047500,2011
77,모비딕,407503,3086042000,2011
78,티끌모아 로맨스,406429,2814491000,2011
79,랭고,386324,2753316000,2011
80,컨트롤러,369556,2832456000,2011
81,내 이름은 칸,360760,2680677000,2011
82,사랑이 무서워,356436,2683360000,2011
83,커플즈,352648,2653084500,2011
84,레드 라이딩 후드,342772,2582380000,2011
85,짱구는 못말려 극장판 : 초시공! 태풍을 부르는 나의 신부,339415,2273260000,2011
86,링컨 차를 타는 변호사,315335,2350101500,2011
87,마이 블랙 미니드레스,311584,2307636000,2011
88,새미의 어드벤쳐,306381,2880702000,2011
89,세 얼간이,303049,2198997000,2011
90,트론: 새로운 시작,300101,3317174500,2011
91,세상에서 가장 아름다운 이별,282010,2048962000,2011
92,상하이,260378,1971777000,2011
93,극장판 포켓몬스터 베스트 위시「비크티니와 백의 영웅 레시라무」,260097,1715922500,2011
94,친구와 연인사이,251592,1965114000,2011
95,카우보이 & 에이리언,239352,1800755500,2011
96,마마,224748,1543616500,2011
97,컨테이젼,223712,1745288500,2011
98,극장판 포켓몬스터 베스트 위시 「비크티니와 흑의 영웅 제크로무」,217145,1469187500,2011
99,그린랜턴: 반지의 선택,212985,1624781500,2011
100,줄리아의 눈,212558,1642145000,2011
101,한나,205474,1545114500,2011
102,알파 앤 오메가,203687,1548006500,2011
103,적과의 동침,200711,1436602000,2011
104,파이널 데스티네이션5,200276,1849236000,2011
105,투혼,193194,1332371500,2011
106,코쿠리코 언덕에서,188602,1344571000,2011
107,노미오와 줄리엣,188349,1679697000,2011
108,그린 호넷,188208,2071881200,2011
109,굿모닝 에브리원,176767,1372432000,2011
110,127시간,159468,1179149500,2011
111,나는 아빠다,155946,1161214500,2011
112,써커 펀치,154973,1207153500,2011
113,메카닉,153124,1175738500,2011
114,빨간모자의 진실 2,152937,1104550500,2011
115,킬러 엘리트,152636,1157404000,2011
116,프렌즈: 몬스터섬의비밀 ,145517,1066465500,2011
117,어브덕션,142868,1042927000,2011
118,바니버디,134533,892818500,2011
119,쥴리의 육지 대모험,125258,846961500,2011
120,라이온 킹,125211,1330297500,2011
121,삼국지: 명장 관우,123498,908351000,2011
122,오늘,121216,642851000,2011
123,썬더일레븐 극장판 : 최강군단 오우거의 습격,120456,792402000,2011
124,제인 에어,118180,852939000,2011
125,라스트 나잇,117735,893045500,2011
126,파이터,111430,838150500,2011
127,극장판 포켓 몬스터 DP 「환영의 패왕 조로아크」,110554,776344500,2011
128,50/50,109725,819250000,2011
129,정무문 : 100대 1의 전설,107881,806701500,2011
130,파라노말 액티비티 3,105898,764730000,2011
